account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
APEX-484839-07,MCL,MCLQ6,Short,4.0,70.11,2026-07-07T10:03:45,72.18,2026-07-07T15:15:36,-828.0,Orders-52.csv
TAKEPROFIT718652247,MCL,MCLQ6,Short,4.0,70.11,2026-07-07T10:03:45,72.18,2026-07-07T15:15:36,-828.0,Orders-51.csv
TAKEPROFIT718652247,MGC,MGCQ6,Short,1.0,4125.0,2026-07-09T04:21:16,4133.3,2026-07-09T16:55:03,-83.0,Orders-53.csv
APEX-484839-07,MGC,MGCQ6,Short,1.0,4125.0,2026-07-09T04:21:16,4133.2,2026-07-09T16:59:02,-82.0,Orders-54.csv
APEX-484839-07,MYM,MYMU6,Short,4.0,52881.0,2026-07-10T11:15:36,52925.0,2026-07-10T13:37:39,-88.0,Orders-55.csv
APEX-484839-07,MNQ,MNQU6,Short,2.0,29871.0,2026-07-10T07:03:04,30061.75,2026-07-10T13:37:39,-763.0,Orders-55.csv
TAKEPROFIT718652247,MES,MESU6,Short,2.0,7626.5,2026-07-10T15:50:07,7628.0,2026-07-10T16:55:02,-15.0,Orders-56.csv
TAKEPROFIT718652247,MYM,MYMU6,Short,4.0,52881.0,2026-07-10T11:15:36,52988.0,2026-07-10T16:55:02,-214.0,Orders-56.csv
TAKEPROFIT718652247,MNQ,MNQU6,Short,2.0,29871.0,2026-07-10T07:03:04,30065.75,2026-07-10T16:55:02,-779.0,Orders-56.csv
APEX-484839-08,M2K,M2KU6,Short,5.0,2957.6,2026-07-20T19:18:33,2995.2,2026-07-21T16:59:04,-940.0,Orders-58.csv
APEX-484839-08,MNQ,MNQU6,Short,1.0,29089.25,2026-07-23T04:56:24,28753.75,2026-07-23T08:48:56,671.0,Orders-60.csv
APEX-484839-08,M2K,M2KU6,Long,5.0,2940.2,2026-07-23T08:42:55,2949.0,2026-07-23T16:59:01,220.0,Orders-60.csv
APEX-484839-08,MCL,MCLU6,Short,1.0,90.55,2026-07-23T06:23:30,92.4,2026-07-23T16:59:01,-185.0,Orders-60.csv
APEX-484839-08,MCL,MCLU6,Short,3.0,92.19,2026-07-23T23:11:20,89.7,2026-07-24T04:44:35,747.0,Orders-60.csv
APEX-484839-08,MCL,MCLU6,Short,4.0,89.98,2026-07-24T16:00:55,90.52,2026-07-24T16:59:00,-216.0,Orders-61.csv
BTCC,SOLUSDT,SOLUSDT,Long,13.0,,,73.91,2026-07-24T22:16:20,25.09,BTCC-Derivatives-TransactionHistory-20260626-20260829.csv
APEX-484839-08,MCL,MCLU6,Short,2.0,85.22,2026-07-30T01:53:55,83.94,2026-07-30T16:59:09,256.0,Orders-65.csv
APEX-484839-08,MCL,MCLU6,Short,2.0,84.81,2026-07-30T11:10:41,83.94,2026-07-30T16:59:09,174.0,Orders-65.csv
APEX-484839-08,M2K,M2KU6,Long,5.0,2910.1,2026-07-31T10:08:36,2929.9,2026-07-31T16:59:00,495.0,Orders-67.csv
APEX-484839-08,MCL,MCLU6,Short,3.0,83.66,2026-07-31T05:46:56,86.35,2026-07-31T16:59:00,-807.0,Orders-67.csv
APEX-484839-08,MYM,MYMU6,Short,4.0,52929.0,2026-08-03T04:19:02,53393.0,2026-08-03T16:59:03,-928.0,Orders-68.csv
APEX-484839-08,MYM,MYMU6,Long,1.0,53374.0,2026-08-04T05:20:13,53385.0,2026-08-04T05:21:35,5.5,Orders-69.csv
APEX-484839-08,MYM,MYMU6,Long,1.0,53388.0,2026-08-04T05:41:35,53454.0,2026-08-04T06:30:00,33.0,Orders-69.csv
APEX-484839-08,MYM,MYMU6,Short,1.0,53454.0,2026-08-04T06:30:00,53502.0,2026-08-04T06:30:05,-24.0,Orders-69.csv
APEX-484839-08,MYM,MYMU6,Short,1.0,53438.0,2026-08-04T06:30:00,53502.0,2026-08-04T06:30:05,-32.0,Orders-69.csv
APEX-484839-08,MYM,MYMU6,Short,1.0,53318.0,2026-08-04T06:30:00,53570.0,2026-08-04T06:30:10,-126.0,Orders-69.csv
APEX-484839-09,MGC,MGCZ6,Short,2.0,4187.5,2026-08-04T22:46:14,4307.4,2026-08-05T10:49:57,-2398.0,Orders-71.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4304.7,2026-08-05T16:51:33,4307.6,2026-08-05T16:59:00,-29.0,Orders-72.csv
APEX-484839-10,M2K,M2KU6,Long,5.0,3026.38,2026-08-06T04:28:00,3039.8,2026-08-06T10:20:03,335.5,Orders-73.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4320.2,2026-08-06T00:37:13,4299.2,2026-08-06T16:59:02,-210.0,Orders-73.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4337.7,2026-08-07T01:50:22,4400.9,2026-08-07T16:59:00,-632.0,Orders-74.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4404.1,2026-08-07T08:30:07,4400.9,2026-08-07T16:59:00,32.0,Orders-74.csv
APEX-484839-10,M2K,M2KU6,Short,5.0,3029.0,2026-08-07T08:30:01,3041.7,2026-08-07T16:59:00,-317.5,Orders-74.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,77.45,2026-08-07T08:29:46,77.1,2026-08-07T16:59:01,105.0,Orders-74.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4409.5,2026-08-10T01:51:28,4388.7,2026-08-10T07:13:14,208.0,Orders-75.csv
APEX-484839-10,M2K,M2KU6,Short,3.0,3035.1,2026-08-09T18:14:54,3029.0,2026-08-10T09:00:49,91.5,Orders-75.csv
APEX-484839-10,MYM,MYMU6,Short,6.0,54034.0,2026-08-09T20:37:26,54006.0,2026-08-10T09:22:40,84.0,Orders-75.csv
BTCC,SOLUSDT,SOLUSDT,Short,20.0,,,76.88,2026-08-10T15:58:14,7.4,BTCC-Derivatives-TransactionHistory-20260626-20260829.csv
APEX-484839-10,M2K,M2KU6,Long,7.0,3020.7,2026-08-10T12:32:00,3025.8,2026-08-10T16:59:00,178.5,Orders-76.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,78.65,2026-08-10T03:06:53,82.32,2026-08-10T16:59:00,-1101.0,Orders-76.csv
APEX-484839-10,MYM,MYMU6,Long,6.0,54023.0,2026-08-10T20:14:26,54169.0,2026-08-11T09:26:11,438.0,Orders-76.csv
APEX-484839-10,MNQ,MNQU6,Long,2.0,29687.25,2026-08-11T09:36:10,29780.0,2026-08-11T10:07:03,371.0,Orders-77.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4431.4,2026-08-11T11:39:33,4427.1,2026-08-11T16:59:02,-43.0,Orders-77.csv
APEX-484839-10,M2K,M2KU6,Long,5.0,3039.7,2026-08-11T14:05:37,3035.1,2026-08-11T16:59:02,-115.0,Orders-77.csv
APEX-484839-10,MYM,MYMU6,Long,6.0,54061.0,2026-08-11T10:44:41,53898.0,2026-08-11T16:59:02,-489.0,Orders-77.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4459.0,2026-08-12T03:22:57,4476.7,2026-08-12T05:15:55,177.0,Orders-78.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,83.99,2026-08-12T03:11:44,83.15,2026-08-12T05:23:06,252.0,Orders-78.csv
APEX-484839-10,M2K,M2KU6,Long,5.0,3039.9,2026-08-12T02:35:04,3044.0,2026-08-12T05:23:56,102.5,Orders-78.csv
APEX-484839-10,MCL,MCLU6,Long,3.0,82.74,2026-08-12T05:27:30,83.11,2026-08-12T05:54:19,111.0,Orders-78.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4470.9,2026-08-12T05:54:42,4466.0,2026-08-12T06:49:00,49.0,Orders-78.csv
APEX-484839-10,M2K,M2KU6,Short,5.0,3041.3,2026-08-12T05:52:00,3037.6,2026-08-12T06:49:00,92.5,Orders-78.csv
APEX-484839-10,M2K,M2KU6,Short,5.0,3054.1,2026-08-12T08:29:52,3043.3,2026-08-12T08:30:00,270.0,Orders-78.csv
