Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
CROUSDT,5,BUY,64689495,2025-01-12 10:25:33,Market,OPEN,1000.00,0.14151000,-0.06000000,-,20106254,-,27.99000000,-,-,-,-,-
CROUSDT,5,BUY,64688722,2025-01-12 10:10:41,Market,OPEN,1000.00,0.14176000,-0.06000000,-,20106254,-,27.99000000,-,-,-,-,-
CROUSDT,5,BUY,64687998,2025-01-12 09:58:18,Market,OPEN,2000.00,0.14208000,-0.13000000,-,20106254,-,55.98000000,-,-,-,-,-
XLMUSDT,5,BUY,63755365,2025-01-05 09:36:34,Limit,OPEN,1000.00,0.44304500,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XLMUSDT,5,BUY,63690799,2025-01-04 23:37:02,Limit,OPEN,1000.00,0.44825400,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XLMUSDT,5,BUY,63690408,2025-01-04 23:35:01,Limit,OPEN,1000.00,0.45029800,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XLMUSDT,5,BUY,63689764,2025-01-04 23:30:47,Limit,OPEN,1000.00,0.45205300,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XLMUSDT,5,BUY,63689260,2025-01-04 23:28:12,Limit,OPEN,1000.00,0.45428100,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XLMUSDT,5,BUY,63651850,2025-01-04 16:22:37,Limit,OPEN,1000.00,0.45768000,-0.11000000,-,19924126,-,90.18703334,-,-,-,-,-
XRPUSDT,5,BUY,63094674,2024-12-31 05:39:12,Limit,OPEN,100.00,2.07742000,-0.05000000,-,19794970,-,42.35244000,-,-,-,-,-
XRPUSDT,5,BUY,63003733,2024-12-30 12:27:34,Limit,OPEN,100.00,2.10095000,-0.05000000,-,19794970,-,42.35244000,-,-,-,-,-
XRPUSDT,5,BUY,62994444,2024-12-30 10:18:12,Limit,OPEN,100.00,2.11108000,-0.05000000,-,19794970,-,42.35244000,-,-,-,-,-
HBARUSDT,5,BUY,62955154,2024-12-30 03:04:28,Limit,OPEN,5000.00,0.28155000,-0.35000000,-,19798162,-,281.55000000,-,-,-,-,-
XRPUSDT,5,BUY,62949849,2024-12-30 01:06:01,Limit,OPEN,100.00,2.14093000,-0.05000000,-,19794970,-,42.35244000,-,-,-,-,-
XRPUSDT,5,BUY,62931600,2024-12-29 23:05:14,Limit,OPEN,100.00,2.15773000,-0.05000000,-,19794970,-,42.35244000,-,-,-,-,-
OPUSDT,10,BUY,61888168,2024-12-21 13:46:33,Stop loss,CLOSE,360.00,1.95400000,-,-,19596230,-10.48000000,69.29640000,1.95400000,-,-,-,-
OPUSDT,10,SELL,61885343,2024-12-21 13:04:37,Market,OPEN,360.00,1.92490000,-,-,19596230,-,69.29640000,-,-,-,-,-
XRPUSDT,75,SELL,61841208,2024-12-21 05:09:41,Market,CLOSE,1400.00,2.23710000,-31.32000000,-31.32000000,19587191,-27.36000000,42.12394667,2.23710000,-,-1.42000000,0.00000000,-60.10000000
XRPUSDT,75,BUY,61839626,2024-12-21 04:53:54,Market,OPEN,1400.00,2.25664000,-1.42000000,-,19587191,-,42.12394667,-,-,-,-,-
BTCUSDT,75,BUY,61801095,2024-12-20 23:17:13,Market,CLOSE,0.07,96586.48000000,-67.61000000,-67.61000000,19566942,100.04000000,91.48118933,96586.48000000,-,-3.09000000,4.40000000,29.34000000
MANAUSDT,15,SELL,61801093,2024-12-20 23:17:13,Market,CLOSE,3400.00,0.46950000,-19.16000000,-19.16000000,19576545,98.26000000,99.86933333,0.46950000,-,-0.67000000,11.76000000,78.43000000
API3USDT,15,BUY,61801091,2024-12-20 23:17:13,Market,CLOSE,1020.00,1.54880000,-18.96000000,-18.96000000,19571623,-90.27000000,99.30040000,1.54880000,-,-0.67000000,0.00000000,-109.90000000
BTCUSDT,70,BUY,61801089,2024-12-20 23:17:13,Market,CLOSE,0.07,96584.34000000,-67.61000000,-67.61000000,19573739,-229.52000000,93.30544000,96584.34000000,-,-2.94000000,0.00000000,-300.07000000
DOGEUSDT,145,BUY,61801087,2024-12-20 23:17:13,Market,CLOSE,48000.00,0.30646000,-147.10000000,-147.10000000,19579593,-251.04000000,99.71751724,0.30646000,-,-6.51000000,0.00000000,-404.65000000
DOGEUSDT,145,SELL,61800567,2024-12-20 23:14:34,Market,OPEN,48000.00,0.30123000,-6.51000000,-,19579593,-,99.71751724,-,-,-,-,-
BTCUSDT,60,SELL,61794295,2024-12-20 22:12:03,Market,CLOSE,0.06,95033.31000000,-2.57000000,-,19563743,-157.17000000,97.65283000,95033.31000000,-,-2.64000000,0.00000000,-162.38000000
MANAUSDT,15,BUY,61789107,2024-12-20 21:24:24,Market,OPEN,3400.00,0.44060000,-0.67000000,-,19576545,-,99.86933333,-,-,-,-,-
